id,ts_code,trade_date,selection_time,open_price,current_price,ma89_value,volume_ratio,pct_chg,breakthrough_type,selection_reason,created_at
1,301122.SZ,20260423,09:38,29.82,31.43,29.99775280898876,3.567575610507117,6.33,1,放量上涨(量比3.57)，突破89日线，涨幅适中(6.33%),2026-04-23 09:38:07
2,301279.SZ,20260423,09:38,29.82,31.43,30.444382022471906,2.8970814616143787,6.33,1,放量上涨(量比2.90)，突破89日线，涨幅适中(6.33%),2026-04-23 09:38:08
3,301106.SZ,20260423,09:38,29.82,31.43,31.00213483146067,1.8336898741778385,6.33,1,放量上涨(量比1.83)，突破89日线，涨幅适中(6.33%),2026-04-23 09:38:08
4,001228.SZ,20260423,09:38,29.82,31.43,30.258314606741575,3.0453988311931104,6.33,1,放量上涨(量比3.05)，突破89日线，涨幅适中(6.33%),2026-04-23 09:38:08
5,688251.SH,20260423,09:38,29.82,31.43,30.82348314606741,1.6399960114968475,6.33,1,放量上涨(量比1.64)，突破89日线，涨幅适中(6.33%),2026-04-23 09:38:08
6,301456.SZ,20260423,09:38,29.82,31.43,30.242808988764047,3.567689649107624,6.33,1,放量上涨(量比3.57)，突破89日线，涨幅适中(6.33%),2026-04-23 09:38:08
7,603255.SH,20260423,09:38,29.82,31.43,30.416741573033704,3.2066997051627877,6.33,1,放量上涨(量比3.21)，突破89日线，涨幅适中(6.33%),2026-04-23 09:38:09
8,688391.SH,20260423,09:38,29.82,31.43,30.764269662921347,5.318089765626608,6.33,1,放量上涨(量比5.32)，突破89日线，涨幅适中(6.33%),2026-04-23 09:38:09
9,002194.SZ,20260423,09:47,12.3,12.5,12.311011235955055,4.870563834185517,5.4,1,放量上涨(量比4.87)，突破89日线，涨幅适中(5.40%),2026-04-23 09:47:45
10,300388.SZ,20260423,09:47,8.28,8.3,8.285955056179775,2.436785159892801,6.27,1,放量上涨(量比2.44)，突破89日线，涨幅适中(6.27%),2026-04-23 09:47:46
11,003000.SZ,20260423,09:47,11.13,11.22,11.086629213483146,3.6012768279188823,5.75,1,放量上涨(量比3.60)，突破89日线，涨幅适中(5.75%),2026-04-23 09:47:46
12,688510.SH,20260423,09:47,33.88,34.95,33.74876404494382,70.66608662846724,7.77,1,放量上涨(量比70.67)，突破89日线，涨幅适中(7.77%),2026-04-23 09:47:46
13,688047.SH,20260423,09:47,147.46,153.21,147.54898876404494,84.47735500087279,7.21,1,放量上涨(量比84.48)，突破89日线，涨幅适中(7.21%),2026-04-23 09:47:46
14,688727.SH,20260423,09:47,52.17,52.87,52.72719101123596,62.82614231815974,2.78,1,放量上涨(量比62.83)，突破89日线，涨幅适中(2.78%),2026-04-23 09:47:46
15,002194.SZ,20260423,09:51,12.3,12.42,12.308764044943821,2.833759366948409,4.72,1,放量上涨(量比2.83)，突破89日线，涨幅适中(4.72%),2026-04-23 09:51:56
16,300388.SZ,20260423,09:51,8.28,8.31,8.279550561797752,2.094060362741292,6.4,1,放量上涨(量比2.09)，突破89日线，涨幅适中(6.40%),2026-04-23 09:51:56
17,603290.SH,20260423,09:51,101.7,108.18,102.75966292134832,1.5766645827838635,6.32,1,放量上涨(量比1.58)，突破89日线，涨幅适中(6.32%),2026-04-23 09:51:56
18,688051.SH,20260423,09:51,34.13,36.56,35.84696629213483,149.57814335016354,7.72,1,放量上涨(量比149.58)，突破89日线，涨幅适中(7.72%),2026-04-23 09:51:56
19,003000.SZ,20260423,09:51,11.13,11.23,11.082696629213483,2.4797561301677646,5.84,1,放量上涨(量比2.48)，突破89日线，涨幅适中(5.84%),2026-04-23 09:51:57
20,301190.SZ,20260423,09:51,22.54,24.12,22.834606741573033,1.912521924644395,6.58,1,放量上涨(量比1.91)，突破89日线，涨幅适中(6.58%),2026-04-23 09:51:57
21,688510.SH,20260423,09:51,33.88,34.65,33.87426966292135,5.48299640066883,6.85,1,放量上涨(量比5.48)，突破89日线，涨幅适中(6.85%),2026-04-23 09:51:57
22,688501.SH,20260423,09:51,27.02,26.77,26.31202247191011,66.0051720691906,1.9,1,放量上涨(量比66.01)，突破89日线，涨幅适中(1.90%),2026-04-23 09:51:57
23,688239.SH,20260423,09:51,65.0,65.08,65.0047191011236,93.19792809613925,3.93,1,放量上涨(量比93.20)，突破89日线，涨幅适中(3.93%),2026-04-23 09:51:57
24,301330.SZ,20260423,09:51,35.84,36.72,36.13258426966292,1.9042402287164863,7.4,1,放量上涨(量比1.90)，突破89日线，涨幅适中(7.40%),2026-04-23 09:51:58
25,688047.SH,20260423,09:51,147.46,151.76,147.76584269662922,5.621046657335053,6.19,1,放量上涨(量比5.62)，突破89日线，涨幅适中(6.19%),2026-04-23 09:51:58
